"","P","Proportion","n","interim_fraction","AlternativeRejectionRate0.8","NullRejectionRate0.05","Calibration","MonitoringType"
"2533",0.05,0.05,40,0.25,0.905,0.753,"Arbitrary","Efficacy"
"2534",0.05,0.05,40,0.5,0.905,0.423,"Arbitrary","Efficacy"
"2535",0.05,0.05,40,0.75,0.896,0.214,"Arbitrary","Efficacy"
"2536",0.05,0.05,160,0.25,0.866,0.663,"Arbitrary","Efficacy"
"2537",0.05,0.05,160,0.5,0.898,0.499,"Arbitrary","Efficacy"
"2538",0.05,0.05,160,0.75,0.881,0.253,"Arbitrary","Efficacy"
"2539",0.05,0.05,600,0.25,0.907,0.774,"Arbitrary","Efficacy"
"2540",0.05,0.05,600,0.5,0.901,0.515,"Arbitrary","Efficacy"
"2541",0.05,0.05,600,0.75,0.919,0.295,"Arbitrary","Efficacy"
"2542",0.05,0.05,2000,0.25,0.922,0.786,"Arbitrary","Efficacy"
"2543",0.05,0.05,2000,0.5,0.927,0.552,"Arbitrary","Efficacy"
"2544",0.05,0.05,2000,0.75,0.932,0.287,"Arbitrary","Efficacy"
"2545",0.05,0.1,40,0.25,0.847,0.627,"Arbitrary","Efficacy"
"2546",0.05,0.1,40,0.5,0.836,0.294,"Arbitrary","Efficacy"
"2547",0.05,0.1,40,0.75,0.839,0.14,"Arbitrary","Efficacy"
"2548",0.05,0.1,160,0.25,0.848,0.617,"Arbitrary","Efficacy"
"2549",0.05,0.1,160,0.5,0.883,0.417,"Arbitrary","Efficacy"
"2550",0.05,0.1,160,0.75,0.85,0.203,"Arbitrary","Efficacy"
"2551",0.05,0.1,600,0.25,0.854,0.659,"Arbitrary","Efficacy"
"2552",0.05,0.1,600,0.5,0.879,0.416,"Arbitrary","Efficacy"
"2553",0.05,0.1,600,0.75,0.885,0.233,"Arbitrary","Efficacy"
"2554",0.05,0.1,2000,0.25,0.87,0.658,"Arbitrary","Efficacy"
"2555",0.05,0.1,2000,0.5,0.892,0.433,"Arbitrary","Efficacy"
"2556",0.05,0.1,2000,0.75,0.906,0.225,"Arbitrary","Efficacy"
"2713",0.05,0.8,40,0.25,0.502,0.179,"Arbitrary","Efficacy"
"2714",0.05,0.8,40,0.5,0.503,0.052,"Arbitrary","Efficacy"
"2715",0.05,0.8,40,0.75,0.538,0.027,"Arbitrary","Efficacy"
"2716",0.05,0.8,160,0.25,0.491,0.153,"Arbitrary","Efficacy"
"2717",0.05,0.8,160,0.5,0.527,0.058,"Arbitrary","Efficacy"
"2718",0.05,0.8,160,0.75,0.557,0.035,"Arbitrary","Efficacy"
"2719",0.05,0.8,600,0.25,0.491,0.162,"Arbitrary","Efficacy"
"2720",0.05,0.8,600,0.5,0.551,0.049,"Arbitrary","Efficacy"
"2721",0.05,0.8,600,0.75,0.629,0.025,"Arbitrary","Efficacy"
"2722",0.05,0.8,2000,0.25,0.528,0.174,"Arbitrary","Efficacy"
"2723",0.05,0.8,2000,0.5,0.556,0.06,"Arbitrary","Efficacy"
"2724",0.05,0.8,2000,0.75,0.659,0.032,"Arbitrary","Efficacy"
"2749",0.05,0.95,40,0.25,0.492,0.173,"Arbitrary","Efficacy"
"2750",0.05,0.95,40,0.5,0.353,0.02,"Arbitrary","Efficacy"
"2751",0.05,0.95,40,0.75,0.384,0.01,"Arbitrary","Efficacy"
"2752",0.05,0.95,160,0.25,0.372,0.089,"Arbitrary","Efficacy"
"2753",0.05,0.95,160,0.5,0.348,0.028,"Arbitrary","Efficacy"
"2754",0.05,0.95,160,0.75,0.438,0.018,"Arbitrary","Efficacy"
"2755",0.05,0.95,600,0.25,0.361,0.093,"Arbitrary","Efficacy"
"2756",0.05,0.95,600,0.5,0.393,0.02,"Arbitrary","Efficacy"
"2757",0.05,0.95,600,0.75,0.492,0.007,"Arbitrary","Efficacy"
"2758",0.05,0.95,2000,0.25,0.379,0.09,"Arbitrary","Efficacy"
"2759",0.05,0.95,2000,0.5,0.408,0.015,"Arbitrary","Efficacy"
"2760",0.05,0.95,2000,0.75,0.514,0.013,"Arbitrary","Efficacy"
"1",0,0,40,0.25,0,0,"Fixed p value","Efficacy"
