"","n","interim_fraction","MonitoringType","P","Proportion","FutilityPValue","EfficacyPValue","AlternativeRejectionRate0.8","NullRejectionRate0.05","TypeIIError","LevelOfSignificance"
"1",40,0.25,"EO",1.47336168718759e-05,0,1.99999999802682,1.47336168718759e-05,0.604,0.277,0.396,0.723
"2",40,0.25,"EO",1.47336168718759e-05,0.05,1.99999999802682,1.47336168718759e-05,0.406,0.107,0.594,0.893
"3",40,0.25,"EO",1.47336168718759e-05,0.1,1.99999999802682,1.47336168718759e-05,0.267,0.07,0.733,0.93
"4",40,0.25,"EO",1.47336168718759e-05,0.15,1.99999999802682,1.47336168718759e-05,0.168,0.029,0.832,0.971
"5",40,0.25,"EO",1.47336168718759e-05,0.2,1.99999999802682,1.47336168718759e-05,0.168,0.029,0.832,0.971
"6",40,0.25,"EO",1.47336168718759e-05,0.25,1.99999999802682,1.47336168718759e-05,0.163,0.028,0.837,0.972
"7",40,0.25,"EO",1.47336168718759e-05,0.3,1.99999999802682,1.47336168718759e-05,0.146,0.022,0.854,0.978
"8",40,0.25,"EO",1.47336168718759e-05,0.35,1.99999999802682,1.47336168718759e-05,0.146,0.022,0.854,0.978
"9",40,0.25,"EO",1.47336168718759e-05,0.4,1.99999999802682,1.47336168718759e-05,0.146,0.022,0.854,0.978
"10",40,0.25,"EO",1.47336168718759e-05,0.45,1.99999999802682,1.47336168718759e-05,0.146,0.022,0.854,0.978
"11",40,0.25,"EO",1.47336168718759e-05,0.5,1.99999999802682,1.47336168718759e-05,0.146,0.022,0.854,0.978
"12",40,0.25,"EO",1.47336168718759e-05,0.55,1.99999999802682,1.47336168718759e-05,0.146,0.022,0.854,0.978
"13",40,0.25,"EO",1.47336168718759e-05,0.6,1.99999999802682,1.47336168718759e-05,0.144,0.022,0.856,0.978
"14",40,0.25,"EO",1.47336168718759e-05,0.65,1.99999999802682,1.47336168718759e-05,0.131,0.019,0.869,0.981
"15",40,0.25,"EO",1.47336168718759e-05,0.7,1.99999999802682,1.47336168718759e-05,0.129,0.019,0.871,0.981
"16",40,0.25,"EO",1.47336168718759e-05,0.75,1.99999999802682,1.47336168718759e-05,0.129,0.019,0.871,0.981
"17",40,0.25,"EO",1.47336168718759e-05,0.8,1.99999999802682,1.47336168718759e-05,0.129,0.019,0.871,0.981
"18",40,0.25,"EO",1.47336168718759e-05,0.85,1.99999999802682,1.47336168718759e-05,0.052,0.006,0.948,0.994
"19",40,0.25,"EO",1.47336168718759e-05,0.9,1.99999999802682,1.47336168718759e-05,0.045,0.004,0.955,0.996
"20",40,0.25,"EO",1.47336168718759e-05,0.95,1.99999999802682,1.47336168718759e-05,0.037,0.002,0.963,0.998
"21",40,0.25,"EO",1.47336168718759e-05,1,1.99999999802682,1.47336168718759e-05,0,0,1,1
"22",40,0.25,"FE",1.47336168718759e-05,0,NA,1.47336168718759e-05,0.604,0.277,0.396,0.723
"23",40,0.25,"FE",1.47336168718759e-05,0.05,NA,1.47336168718759e-05,0.406,0.107,0.594,0.893
"24",40,0.25,"FE",1.47336168718759e-05,0.1,NA,1.47336168718759e-05,0.267,0.07,0.733,0.93
"25",40,0.25,"FE",1.47336168718759e-05,0.15,NA,1.47336168718759e-05,0.168,0.029,0.832,0.971
"26",40,0.25,"FE",1.47336168718759e-05,0.2,NA,1.47336168718759e-05,0.168,0.029,0.832,0.971
"27",40,0.25,"FE",1.47336168718759e-05,0.25,NA,1.47336168718759e-05,0.163,0.028,0.837,0.972
"28",40,0.25,"FE",1.47336168718759e-05,0.3,NA,1.47336168718759e-05,0.146,0.022,0.854,0.978
"29",40,0.25,"FE",1.47336168718759e-05,0.35,NA,1.47336168718759e-05,0.146,0.022,0.854,0.978
"30",40,0.25,"FE",1.47336168718759e-05,0.4,NA,1.47336168718759e-05,0.146,0.022,0.854,0.978
"31",40,0.25,"FE",1.47336168718759e-05,0.45,NA,1.47336168718759e-05,0.146,0.022,0.854,0.978
"32",40,0.25,"FE",1.47336168718759e-05,0.5,NA,1.47336168718759e-05,0.146,0.022,0.854,0.978
"33",40,0.25,"FE",1.47336168718759e-05,0.55,NA,1.47336168718759e-05,0.146,0.022,0.854,0.978
"34",40,0.25,"FE",1.47336168718759e-05,0.6,NA,1.47336168718759e-05,0.144,0.022,0.856,0.978
"35",40,0.25,"FE",1.47336168718759e-05,0.65,NA,1.47336168718759e-05,0.131,0.019,0.869,0.981
"36",40,0.25,"FE",1.47336168718759e-05,0.7,NA,1.47336168718759e-05,0.129,0.019,0.871,0.981
"37",40,0.25,"FE",1.47336168718759e-05,0.75,NA,1.47336168718759e-05,0.129,0.019,0.871,0.981
"38",40,0.25,"FE",1.47336168718759e-05,0.8,NA,1.47336168718759e-05,0.129,0.019,0.871,0.981
"39",40,0.25,"FE",1.47336168718759e-05,0.85,NA,1.47336168718759e-05,0.052,0.006,0.948,0.994
"40",40,0.25,"FE",1.47336168718759e-05,0.9,NA,1.47336168718759e-05,0.045,0.004,0.955,0.996
"41",40,0.25,"FE",1.47336168718759e-05,0.95,NA,1.47336168718759e-05,0.037,0.002,0.963,0.998
"42",40,0.25,"FE",1.47336168718759e-05,1,NA,1.47336168718759e-05,0,0,1,1
"43",40,0.5,"FO",0.587238814856593,0,0.587238814856593,0,1,1,0,0
"44",40,0.5,"FO",0.587238814856593,0.05,0.587238814856593,0,1,1,0,0
"45",40,0.5,"FO",0.587238814856593,0.1,0.587238814856593,0,0.999,1,0.001,0
"46",40,0.5,"FO",0.587238814856593,0.15,0.587238814856593,0,0.999,0.993,0.001,0.00700000000000001
"47",40,0.5,"FO",0.587238814856593,0.2,0.587238814856593,0,0.999,0.982,0.001,0.018
"48",40,0.5,"FO",0.587238814856593,0.25,0.587238814856593,0,0.992,0.906,0.00800000000000001,0.094
"49",40,0.5,"FO",0.587238814856593,0.3,0.587238814856593,0,0.98,0.821,0.02,0.179
"50",40,0.5,"FO",0.587238814856593,0.35,0.587238814856593,0,0.98,0.804,0.02,0.196
"51",40,0.5,"FO",0.587238814856593,0.4,0.587238814856593,0,0.972,0.762,0.028,0.238
"52",40,0.5,"FO",0.587238814856593,0.45,0.587238814856593,0,0.942,0.561,0.0580000000000001,0.439
"53",40,0.5,"FO",0.587238814856593,0.5,0.587238814856593,0,0.934,0.518,0.0659999999999999,0.482
"54",40,0.5,"FO",0.587238814856593,0.55,0.587238814856593,0,0.932,0.505,0.0679999999999999,0.495
"55",40,0.5,"FO",0.587238814856593,0.6,0.587238814856593,0,0.927,0.491,0.073,0.509
"56",40,0.5,"FO",0.587238814856593,0.65,0.587238814856593,0,0.927,0.485,0.073,0.515
"57",40,0.5,"FO",0.587238814856593,0.7,0.587238814856593,0,0.917,0.474,0.083,0.526
"58",40,0.5,"FO",0.587238814856593,0.75,0.587238814856593,0,0.899,0.427,0.101,0.573
"59",40,0.5,"FO",0.587238814856593,0.8,0.587238814856593,0,0.836,0.292,0.164,0.708
