"","n","interim_fraction","MonitoringType","EfficacyPValue","Proportion","AlternativeRejectionRate0.8","NullRejectionRate0.05"
"1",40,0.25,"EO",1.47336168718759e-05,0.15,0.168,0.029
"2",40,0.25,"EO",1.47336168718759e-05,0.2,0.168,0.029
"3",40,0.25,"FE",1.47336168718759e-05,0.15,0.168,0.029
"4",40,0.25,"FE",1.47336168718759e-05,0.2,0.168,0.029
"5",40,0.5,"EO",0.00304526344597988,0.2,0.508,0.048
"6",40,0.5,"FE",0.00304526344597988,0.2,0.508,0.048
"7",40,0.75,"EO",0.0183220688360937,0.3,0.645,0.05
"8",40,0.75,"FE",0.0183910831118006,0.3,0.645,0.05
"9",160,0.25,"EO",1.47336168718759e-05,0.35,0.264,0.05
"10",160,0.25,"EO",1.47336168718759e-05,0.4,0.264,0.049
"11",160,0.25,"FE",1.47336168718759e-05,0.35,0.264,0.05
"12",160,0.25,"FE",1.47336168718759e-05,0.4,0.264,0.049
"13",160,0.5,"EO",0.00304526344597988,0.4,0.444,0.041
"14",160,0.5,"FE",0.00304526344597988,0.4,0.444,0.041
"15",160,0.75,"EO",0.0183220688360937,0.4,0.634,0.043
"16",160,0.75,"FE",0.0183910831118006,0.4,0.634,0.043
"17",600,0.25,"EO",1.47336168718759e-05,0.35,0.258,0.05
"18",600,0.25,"FE",1.47336168718759e-05,0.35,0.258,0.05
"19",600,0.5,"EO",0.00304526344597988,0.3,0.53,0.039
"20",600,0.5,"FE",0.00304526344597988,0.3,0.53,0.039
"21",600,0.75,"EO",0.0183220688360937,0.3,0.707,0.047
"22",600,0.75,"FE",0.0183910831118006,0.3,0.707,0.047
"23",2000,0.25,"EO",1.47336168718759e-05,0.35,0.258,0.048
"24",2000,0.25,"FE",1.47336168718759e-05,0.35,0.258,0.048
"25",2000,0.5,"EO",0.00304526344597988,0.35,0.531,0.046
"26",2000,0.5,"FE",0.00304526344597988,0.35,0.531,0.046
"27",2000,0.75,"EO",0.0183220688360937,0.35,0.726,0.043
"28",2000,0.75,"FE",0.0183910831118006,0.35,0.728,0.043
